epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1865.77,1.49086,1.03346,1.3197,0.73333,0.72015,0.78802,0.41127,1.65221,1.09537,1.42938,0.00214046,0.00214046,0.00214046
37,1915.88,1.47604,1.02863,1.31803,0.71518,0.75836,0.7895,0.41142,1.66176,1.10751,1.43811,0.00189475,0.00189475,0.00189475
38,1966.16,1.47063,1.0127,1.31079,0.73449,0.72875,0.79638,0.41337,1.664,1.06931,1.4388,0.00166149,0.00166149,0.00166149
39,2017.21,1.47296,1.00919,1.30541,0.72595,0.73117,0.78721,0.405,1.67181,1.082,1.4404,0.00144161,0.00144161,0.00144161
40,2068.02,1.47641,1.01229,1.30074,0.69983,0.75265,0.7811,0.40049,1.69265,1.07635,1.45067,0.00123596,0.00123596,0.00123596
41,2125.12,1.47352,0.98989,1.33199,0.69745,0.7508,0.78422,0.40721,1.67478,1.0753,1.43653,0.00104537,0.00104537,0.00104537
42,2173.84,1.46027,0.97966,1.3344,0.71449,0.7297,0.787,0.41267,1.672,1.05892,1.44236,0.000870577,0.000870577,0.000870577
43,2222.42,1.45401,0.96154,1.32725,0.72867,0.72684,0.78781,0.40419,1.6843,1.09091,1.44562,0.000712282,0.000712282,0.000712282
44,2271.73,1.4408,0.95345,1.32091,0.72521,0.74117,0.78542,0.40897,1.67605,1.05872,1.44208,0.000571106,0.000571106,0.000571106
45,2320.53,1.43751,0.95642,1.3151,0.72203,0.73066,0.78933,0.40901,1.67368,1.06843,1.44254,0.000447606,0.000447606,0.000447606
46,2369.02,1.43116,0.94899,1.3191,0.73931,0.72588,0.78917,0.40773,1.67771,1.05878,1.44441,0.00034227,0.00034227,0.00034227
47,2418.17,1.42556,0.94076,1.31064,0.72391,0.73877,0.79231,0.41121,1.67686,1.05181,1.44453,0.000255513,0.000255513,0.000255513
48,2467.07,1.43206,0.93798,1.31648,0.72188,0.74021,0.79034,0.40953,1.67455,1.06278,1.44481,0.000187678,0.000187678,0.000187678
49,2515.74,1.42399,0.93621,1.30852,0.73292,0.72603,0.79179,0.40828,1.67826,1.06584,1.4447,0.000139032,0.000139032,0.000139032
50,2564.7,1.4236,0.9345,1.30531,0.72778,0.73926,0.7921,0.41014,1.67664,1.06259,1.44579,0.000109768,0.000109768,0.000109768
